,district,weekday,period,velocity,number_clusters,execution_time_k_mean,execution_time_Agglomerative
0,Quận Gò Vấp,5,period_16_55,108,9,0.34244513511657715,0.5976894401993265
1,Quận Gò Vấp,6,period_16_55,108,9,0.45966315269470215,0.5808651425019825
2,Quận Gò Vấp,4,period_16_55,135,9,0.3014669418334961,0.37892614158861476
3,Quận Gò Vấp,3,period_16_55,135,9,0.322235107421875,0.5044551495313119
4,Quận Gò Vấp,2,period_16_55,135,9,0.32366394996643066,0.3422666121353447
5,Quận Gò Vấp,0,period_16_55,108,9,0.3305678367614746,0.35309020723873213
6,Quận Gò Vấp,1,period_16_55,108,9,0.3601059913635254,0.5401023336903901
7,Huyện Bình Chánh,5,period_16_55,280,9,0.4288151264190674,0.400895749856071
8,Huyện Bình Chánh,6,period_16_55,280,9,0.36128807067871094,0.47607576787131656
9,Huyện Bình Chánh,4,period_16_55,350,9,0.5403509140014648,0.5399077612580359
10,Huyện Bình Chánh,3,period_16_55,350,9,0.5058729648590088,0.8927586652994546
11,Huyện Bình Chánh,2,period_16_55,350,9,0.6367819309234619,0.5151763137926129
12,Huyện Bình Chánh,0,period_16_55,280,8,0.4838531017303467,0.5682298031181815
13,Huyện Bình Chánh,1,period_16_55,280,9,0.45496201515197754,0.5832285489331597
14,Thành phố Thủ Đức,5,period_16_55,316,9,0.5567748546600342,0.607988993485379
15,Thành phố Thủ Đức,6,period_16_55,316,9,0.5706028938293457,0.6788527944544351
16,Thành phố Thủ Đức,4,period_16_55,395,9,0.6663670539855957,0.903769875254806
17,Thành phố Thủ Đức,3,period_16_55,395,9,1.5118129253387451,1.4371910309249176
18,Thành phố Thủ Đức,2,period_16_55,395,9,2.224606990814209,1.4948573039477444
19,Thành phố Thủ Đức,0,period_16_55,316,9,0.5898189544677734,1.3318416286769645
20,Thành phố Thủ Đức,1,period_16_55,316,9,1.6680588722229004,0.8998874914822907
21,Quận Tân Bình,5,period_16_55,460,9,0.7255222797393799,0.5865872480115255
22,Quận Tân Bình,6,period_16_55,460,9,0.4722871780395508,1.0675491741719618
23,Quận Tân Bình,4,period_16_55,575,9,0.6543149948120117,0.7774223300831734
24,Quận Tân Bình,3,period_16_55,575,9,0.6146509647369385,1.3417761213206802
25,Quận Tân Bình,2,period_16_55,575,9,1.2496271133422852,0.7946962267875467
26,Quận Tân Bình,0,period_16_55,460,9,0.559088945388794,0.6203613088722879
27,Quận Tân Bình,1,period_16_55,460,9,0.6314859390258789,0.5316350432631143
28,Quận 12,5,period_16_55,248,8,0.40531301498413086,0.4631688132624656
29,Quận 12,6,period_16_55,248,6,0.3365030288696289,0.39399541139776606
30,Quận 12,4,period_16_55,310,8,0.38753271102905273,0.584253170354996
31,Quận 12,3,period_16_55,310,9,0.4154629707336426,0.6754667919307713
32,Quận 12,2,period_16_55,310,9,0.4502570629119873,0.6200950291641629
33,Quận 12,0,period_16_55,248,8,0.3609137535095215,0.432693252040762
34,Quận 12,1,period_16_55,248,7,0.3209059238433838,0.4258882014317345
35,Quận Tân Phú,5,period_16_55,100,8,0.3603401184082031,0.5812662326516507
36,Quận Tân Phú,6,period_16_55,100,9,0.515761137008667,0.5382098275815994
37,Quận Tân Phú,4,period_16_55,125,9,0.39347314834594727,0.3928313326932394
38,Quận Tân Phú,3,period_16_55,125,9,0.4033370018005371,0.3938159771225963
39,Quận Tân Phú,2,period_16_55,125,9,0.5825719833374023,0.3005520114952222
40,Quận Tân Phú,0,period_16_55,100,9,0.2981140613555908,0.4199878574671818
41,Quận Tân Phú,1,period_16_55,100,9,0.4277310371398926,0.5679501206115039
42,Quận 5,5,period_16_55,128,6,0.5608558654785156,0.42947655173065136
43,Quận 5,6,period_16_55,128,6,1.0184869766235352,1.3412198837308993
44,Quận 5,4,period_16_55,160,6,0.5782701969146729,0.8928659832321687
45,Quận 5,3,period_16_55,160,8,0.6773848533630371,0.7226451498057743
46,Quận 5,2,period_16_55,160,8,0.5736582279205322,1.2400873784051387
47,Quận 5,0,period_16_55,128,6,0.464461088180542,0.48189629748353424
48,Quận 5,1,period_16_55,128,6,0.3089599609375,0.4149746367736137
49,Quận 7,5,period_16_55,112,7,0.38428711891174316,0.6846161357145374
50,Quận 7,6,period_16_55,112,6,0.6417281627655029,0.7847777691028298
51,Quận 7,4,period_16_55,140,7,0.39026594161987305,0.4978934126498609
52,Quận 7,3,period_16_55,140,9,0.5028600692749023,0.8737595970007239
53,Quận 7,2,period_16_55,140,9,0.4323132038116455,0.4741944526035447
54,Quận 7,0,period_16_55,112,7,0.3145716190338135,0.5992966144294266
55,Quận 7,1,period_16_55,112,7,0.5443789958953857,1.0325361684394818
56,Quận 6,5,period_16_55,56,4,0.3414578437805176,0.45228680294500917
57,Quận 6,6,period_16_55,56,4,0.24190402030944824,0.34969081103469585
58,Quận 6,4,period_16_55,70,5,0.16107535362243652,0.2810044331910742
59,Quận 6,3,period_16_55,70,3,0.1587238311767578,0.32230760837502226
60,Quận 6,2,period_16_55,70,3,0.1673600673675537,0.36452967955015747
61,Quận 6,0,period_16_55,56,4,0.19150590896606445,0.38981558117571724
62,Quận 6,1,period_16_55,56,3,0.18554115295410156,0.23767075611090854
63,Quận 1,5,period_16_55,116,2,1.1282000541687012,0.7249752666490044
64,Quận 1,6,period_16_55,116,2,0.3730611801147461,0.4157727638668508
65,Quận 1,4,period_16_55,145,2,0.37885594367980957,0.6052287047178384
66,Quận 1,3,period_16_55,145,3,0.31473588943481445,0.535001455794593
67,Quận 1,2,period_16_55,145,4,0.35457277297973633,0.46783463355730237
68,Quận 1,0,period_16_55,116,4,0.31424808502197266,0.5202232802574993
69,Quận 1,1,period_16_55,116,4,0.3256361484527588,0.4998402546128144
70,Quận 4,5,period_16_55,12,3,0.28311705589294434,0.2719525570670723
71,Quận 4,6,period_16_55,12,3,0.1629488468170166,0.2769862069133148
72,Quận 4,4,period_16_55,15,2,0.16011404991149902,0.30476701870440787
73,Quận 4,3,period_16_55,15,5,0.1723010540008545,0.25624127042835443
74,Quận 4,2,period_16_55,15,5,0.29051709175109863,0.5031454405067228
75,Quận 4,0,period_16_55,12,4,0.4528980255126953,0.5915056800819697
76,Quận 4,1,period_16_55,12,3,0.3520328998565674,0.5328534104174448
77,Quận 10,5,period_16_55,48,3,0.15785813331604004,0.2852706174816886
78,Quận 10,6,period_16_55,48,3,0.1716609001159668,0.2949750867719735
79,Quận 10,4,period_16_55,60,5,0.19214487075805664,0.3762699078936459
80,Quận 10,3,period_16_55,60,5,0.16201019287109375,0.2843023320619342
81,Quận 10,2,period_16_55,60,4,0.15855717658996582,0.33794399978948386
82,Quận 10,0,period_16_55,48,2,0.16033506393432617,0.3388056510906256
83,Quận 10,1,period_16_55,48,4,0.17644691467285156,0.20589265500209747
84,Huyện Hóc Môn,5,period_16_55,140,7,0.25191497802734375,0.5638310484459086
85,Huyện Hóc Môn,6,period_16_55,140,8,0.3095381259918213,0.6015875042231488
86,Huyện Hóc Môn,4,period_16_55,175,9,1.001086950302124,0.8688981152361053
87,Huyện Hóc Môn,3,period_16_55,175,9,0.5176498889923096,1.2278990209201863
88,Huyện Hóc Môn,2,period_16_55,175,9,0.5507421493530273,0.8486313583325318
89,Huyện Hóc Môn,0,period_16_55,140,7,0.41461992263793945,0.47717501977731325
90,Huyện Hóc Môn,1,period_16_55,140,8,0.6867680549621582,0.5194889928009296
