,period,segment_id,date,weekday,tomtom_velocity,base_LOS,isHot,weather,temperature,district,lat,lng,is_morning
0,period_15_15,21516,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7776849,106.681418,0
1,period_15_15,2862,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.78047475,106.65914245,0
2,period_15_15,2863,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7801563,106.6594941,0
3,period_15_15,2864,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.78000485,106.65966715,0
4,period_15_15,2865,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7796647,106.6600558,0
5,period_15_15,2866,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77911205,106.66065935,0
6,period_15_15,2867,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77860615,106.66119185,0
7,period_15_15,2868,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77828585,106.661529,0
8,period_15_15,2869,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7777089,106.66214355,0
9,period_15_15,2870,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77689305,106.6630175,0
10,period_15_15,12481,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7776586,106.66568815,0
11,period_15_15,12483,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77730775,106.6659782,0
12,period_15_15,33859,2022-03-20,6,49,A,True,few clouds,27,Quận Tân Bình,10.79009655,106.65233625,0
13,period_15_15,12485,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.776948699999998,106.6662715,0
14,period_15_15,12487,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7765829,106.66656475,0
15,period_15_15,12489,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7764418,106.6666792,0
16,period_15_15,12491,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77625805,106.6668299,0
17,period_15_15,12493,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77591565,106.66710595,0
18,period_15_15,12495,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77562675,106.6673263,0
19,period_15_15,12507,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7742707,106.66818505,0
20,period_15_15,12511,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.77397085,106.66838615,0
21,period_15_15,21517,2022-03-20,6,49,A,True,few clouds,27,Quận 10,10.7776268,106.6814752,0
22,period_15_15,58388,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.786334,106.665618,0
23,period_15_15,58390,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78659655,106.665138,0
24,period_15_15,58392,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78676325,106.66483515,0
25,period_15_15,58394,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78683925,106.6646979,0
26,period_15_15,58396,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78694885,106.6644954,0
27,period_15_15,58398,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.787057,106.66429675,0
28,period_15_15,33861,2022-03-20,6,49,A,True,few clouds,27,Quận Tân Bình,10.79006845,106.65237395,0
29,period_15_15,37964,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78913055,106.66040405,0
30,period_15_15,37966,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.789319,106.6600464,0
31,period_15_15,37968,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78947025,106.65975935,0
32,period_15_15,37970,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78956035,106.6595883,0
33,period_15_15,37972,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7896969,106.65932915,0
34,period_15_15,37974,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78985525,106.6590286,0
35,period_15_15,37976,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.789966,106.65881835,0
36,period_15_15,37978,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.79008015,106.6586016,0
37,period_15_15,37980,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.79021625,106.65834325,0
38,period_15_15,37982,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7903294,106.65812825,0
39,period_15_15,37984,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.79037675,106.65803855,0
40,period_15_15,37996,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.7794479,106.67852485,0
41,period_15_15,65132,2022-03-20,6,49,A,True,few clouds,27,Quận 3,10.78385145,106.6702961,0
