_id,length,end_node,start_node,street,street_level,street_name,street_type,slat,slng,elat,elng
70,119,5816921541,1996655233,32575864,3,Châu Văn Liêm,secondary,106.659204,106.6590317,10.7508811,10.7519402
795,159,3379526563,366417239,32576511,4,Vĩnh Lộc,tertiary,106.5793899,106.5805542,10.8136348,10.8145027
796,159,366417239,3379526563,32576511,4,Vĩnh Lộc,tertiary,106.5805184,106.5793541,10.8145509,10.813683
2862,86,2498079025,1349033432,32577686,4,Thành Thái,tertiary,106.6588525,106.6594324,10.7807392,10.7802103
2863,18,5772557724,2498079025,32577686,4,Thành Thái,tertiary,106.6594324,106.6595558,10.7802103,10.7801023
2864,32,5772557748,5772557724,32577686,4,Thành Thái,tertiary,106.6595558,106.6597785,10.7801023,10.7799074
2865,81,2498079023,5772557748,32577686,4,Thành Thái,tertiary,106.6597785,106.6603331,10.7799074,10.779422
2866,99,1552973905,2498079023,32577686,4,Thành Thái,tertiary,106.6603331,106.6609856,10.779422,10.7788021
2867,62,5772606547,1552973905,32577686,4,Thành Thái,tertiary,106.6609856,106.6613981,10.7788021,10.7784102
2868,39,366388518,5772606547,32577686,4,Thành Thái,tertiary,106.6613981,106.6616599,10.7784102,10.7781615
2869,145,2233616175,366388518,32577686,4,Thành Thái,tertiary,106.6616599,106.6626272,10.7781615,10.7772563
2870,117,2498079017,2233616175,32577686,4,Thành Thái,tertiary,106.6626272,106.6634078,10.7772563,10.7765298
2871,22,5772606969,2498079017,32577686,4,Thành Thái,tertiary,106.6634078,106.6635634,10.7765298,10.7763996
3057,66,5763141586,3700550788,32577828,2,Nguyễn Kiệm,primary,106.6802342,106.680033,10.7992811,10.7998472
4442,9,2299409156,1525911386,32578747,4,Nghĩa Phát,tertiary,106.6543768,106.6544573,10.7836143,10.7836438
4443,9,1525911386,2299409156,32578747,4,Nghĩa Phát,tertiary,106.6544367,106.6543562,10.7837002,10.7836707
4624,6,5755254572,2092411576,32578837,3,Nguyễn Văn Bứa,secondary,106.5869689,106.5869155,10.8839329,10.8839034
4625,6,2092411576,5755254572,32578837,3,Nguyễn Văn Bứa,secondary,106.5869445,106.5869979,10.8838508,10.8838803
4626,52,366450260,5755254572,32578837,3,Nguyễn Văn Bứa,secondary,106.5869155,106.5864993,10.8839034,10.8836736
4627,52,5755254572,366450260,32578837,3,Nguyễn Văn Bứa,secondary,106.5865283,106.5869445,10.883621,10.8838508
5246,59,5755153786,5755051489,32579214,3,Tạ Quang Bửu,secondary,106.6567127,106.6561659,10.7340639,10.7340331
5653,45,4948841957,759599258,32579669,3,Trường Sơn,secondary,106.6649688,106.6648951,10.8130718,10.8126648
5654,21,2072605346,4948841957,32579669,3,Trường Sơn,secondary,106.6648951,106.6648739,10.8126648,10.812469
5739,16,2293477506,3167034805,32579894,4,Hồ Văn Huê,tertiary,106.674937,106.6749197,10.7997672,10.7996157
5922,99,5788625751,5788625769,32580086,4,Lê Đại Hành,tertiary,106.6576393,106.6571201,10.7613687,10.7620991
6115,42,1393358762,2496916468,32580124,2,Pham Ngũ Lão,primary,106.6834728,106.6832697,10.8204269,10.8207556
6116,75,1393358769,1393358762,32580124,2,Pham Ngũ Lão,primary,106.6832697,106.6829666,10.8207556,10.8213632
6117,21,366466390,1393358769,32580124,2,Pham Ngũ Lão,primary,106.6829666,106.6828711,10.8213632,10.8215371
6118,7,5789199777,366466390,32580124,2,Pham Ngũ Lão,primary,106.6828711,106.6828383,10.8215371,10.8215958
6119,22,5789199771,5789199777,32580124,2,Pham Ngũ Lão,primary,106.6828383,106.6827395,10.8215958,10.8217725
6120,15,5719227253,5789199771,32580124,2,Pham Ngũ Lão,primary,106.6827395,106.6826696,10.8217725,10.8218976
6121,75,3167044465,5719227253,32580124,2,Pham Ngũ Lão,primary,106.6826696,106.6823383,10.8218976,10.8224903
